provider,network_type,plan_name,download_speed,upload_speed,price,promo_price,promo_period,contract,typical_evening_dl,typical_evening_ul,source_url
Airtel,4G Mobile,Airtel Nano 4G 10GB,100,100,30.0,,,No Lock-in,100,100,https://airtel.au/mobile
Airtel,4G Mobile,Airtel Micro 4G 15GB,100,100,35.0,,,No Lock-in,100,100,https://airtel.au/mobile
Airtel,4G Mobile,Airtel Micro + 5G 29GB,100,150,40.0,,,No Lock-in,100,150,https://airtel.au/mobile
Airtel,5G Mobile,Airtel Flexi 5G 40GB,150,150,45.0,,,No Lock-in,150,150,https://airtel.au/mobile
Airtel,5G Mobile,Airtel Ultimate 5G 65GB,150,150,55.0,,,No Lock-in,150,150,https://airtel.au/mobile
Airtel,5G Mobile,Airtel Legend 5G 100GB,150,150,65.0,,,No Lock-in,150,150,https://airtel.au/mobile
Airtel,5G Mobile,Airtel Legend + 5G 120GB,250,250,70.0,,,No Lock-in,250,250,https://airtel.au/mobile
Airtel,5G Mobile,Airtel Ultimate + 5G 150GB,250,250,80.0,,,No Lock-in,250,250,https://airtel.au/mobile
Airtel,5G Mobile,Airtel Super Flex 180GB,250,250,85.0,,,No Lock-in,250,250,https://airtel.au/mobile
Airtel,5G Mobile Broadband,Airtel 5G Mobile Broadband 40GB,150,150,40.0,,,No Lock-in,150,150,https://airtel.au/mobile
Airtel,5G Mobile Broadband,Airtel 5G Mobile Broadband 100GB,150,150,60.0,,,No Lock-in,150,150,https://airtel.au/mobile
Airtel,5G Mobile Broadband,Airtel 5G Mobile Broadband 50GB,150,150,65.0,,,No Lock-in,150,150,https://airtel.au/mobile
Airtel,5G Mobile Broadband,Airtel 5G Mobile Broadband 120GB,250,250,70.0,,,No Lock-in,250,250,https://airtel.au/mobile
Airtel,5G Mobile Broadband,Airtel 5G Mobile Broadband 150GB,250,250,80.0,,,No Lock-in,250,250,https://airtel.au/mobile
Airtel,5G Mobile Broadband,Airtel 5G Mobile Broadband 180GB,250,250,85.0,,,No Lock-in,250,250,https://airtel.au/mobile
Airtel,Family Share Mobile,Airtel Family Share Pool A 10GB,100,100,35.0,,,No Lock-in,100,100,https://airtel.au/mobile
Airtel,Family Share Mobile,Airtel Family Share Pool B 30GB,100,100,50.0,,,No Lock-in,100,100,https://airtel.au/mobile
Airtel,Family Share Mobile,Airtel Family Share Pool C 45GB,150,150,65.0,,,No Lock-in,150,150,https://airtel.au/mobile
Airtel,Family Share Mobile,Airtel Family Share Pool D 60GB,250,250,75.0,,,No Lock-in,250,250,https://airtel.au/mobile
Airtel,Roaming Mobile,Airtel Roaming International 5GB,0,0,60.0,,,No Lock-in,0,0,https://airtel.au/mobile
Airtel,Roaming Mobile,Airtel Roaming International 10GB,0,0,85.0,,,No Lock-in,0,0,https://airtel.au/mobile
Airtel,Travel SIM Asia,Airtel Asia Data package 1GB,1,0,18.0,,30 Days,Prepaid,1,0,https://airtel.au/travel-sim
Airtel,Travel SIM Asia,Airtel Asia Data package 3GB,3,0,39.0,,30 Days,Prepaid,3,0,https://airtel.au/travel-sim
Airtel,Travel SIM Asia,Airtel Asia Data package 5GB,5,0,89.0,,30 Days,Prepaid,5,0,https://airtel.au/travel-sim
Airtel,Travel SIM Asia,Airtel Asia Data package 10GB,10,0,178.0,,30 Days,Prepaid,10,0,https://airtel.au/travel-sim
Airtel,Travel SIM Asia,Airtel Asia Data package 20GB,20,0,406.0,,30 Days,Prepaid,20,0,https://airtel.au/travel-sim
Airtel,Travel SIM Asia Zone 2,Airtel Asia Special Data Package 5GB Zone 2,5,0,61.0,,7 Days,Prepaid,5,0,https://airtel.au/travel-sim
Airtel,Travel SIM Asia Zone 2,Airtel Asia Special Data Package 10GB Zone 2,10,0,92.0,,7 Days,Prepaid,10,0,https://airtel.au/travel-sim
Airtel,Travel SIM Asia Zone 2,Airtel Asia Special Data Package 15GB Zone 2,15,0,137.0,,14 Days,Prepaid,15,0,https://airtel.au/travel-sim
Airtel,Travel SIM Asia Zone 2,Airtel Asia Special Data Package 25GB Zone 2,25,0,229.0,,14 Days,Prepaid,25,0,https://airtel.au/travel-sim
Airtel,Travel SIM Europe,Airtel EU Data Package 5GB,5,0,7.0,,7 Days,Prepaid,5,0,https://airtel.au/travel-sim
Airtel,Travel SIM Europe,Airtel EU Data Package 10GB,10,0,11.0,,7 Days,Prepaid,10,0,https://airtel.au/travel-sim
Airtel,Travel SIM Europe,Airtel EU Data Package 25GB,25,0,26.0,,14 Days,Prepaid,25,0,https://airtel.au/travel-sim
Airtel,Travel SIM Europe,Airtel EU Data Package 50GB,50,0,52.0,,30 Days,Prepaid,50,0,https://airtel.au/travel-sim
Airtel,Travel SIM Global,Airtel Global Zone A Package 5GB,5,0,13.0,,7 Days,Prepaid,5,0,https://airtel.au/travel-sim
Airtel,Travel SIM Global,Airtel Global Zone A Package 10GB,10,0,20.0,,7 Days,Prepaid,10,0,https://airtel.au/travel-sim
Airtel,Travel SIM Global,Airtel Global Zone A Package 25GB,25,0,49.0,,14 Days,Prepaid,25,0,https://airtel.au/travel-sim
