provider,network_type,plan_name,download_speed,upload_speed,price,promo_price,promo_period,contract,typical_evening_dl,typical_evening_ul,source_url
Exetel,NBN,About Us - 500MBPS.THE ONE NBN PLAN TO RULE THEM ALL.,500,50,80.0,,,No lock-in / month-to-month,500,50,https://www.exetel.com.au/broadband/nbn
Exetel,NBN,Hibernate,860,85,1.0,,,No lock-in / month-to-month,860,85,https://www.exetel.com.au/broadband/nbn
Exetel,NBN,Warp Speed 2X faster,860,85,1.0,,,No lock-in / month-to-month,860,85,https://www.exetel.com.au/broadband/nbn
Exetel,NBN,Pricing that makes sense,500,40,85.0,,,,500,40,https://www.exetel.com.au/nbn-50-vs-nbn-500
Exetel,NBN,Turn that upgrade into a long-term win,500,40,80.0,,,,500,40,https://www.exetel.com.au/nbn-50-vs-nbn-500
Exetel,NBN,2. Finder. (2024). Compare NBN 50 plans in Australia - Exetel’s One Plan keeps nbn simple,500,40,80.0,,,,500,40,https://www.exetel.com.au/nbn-50-vs-nbn-500
Exetel,NBN,"Real-world results may vary with Wi-Fi, router quality, home setup and server speeds.",500,40,85.0,80.0,,,500,40,https://www.exetel.com.au/nbn-100-vs-nbn-500
Exetel,NBN,About Us - ONE PLAN. RAD LIKE ADELAIDE.,500,50,80.0,,,No lock-in / month-to-month,500,50,https://www.exetel.com.au/adelaide-nbn-plan
Exetel,Fibre,Hibernate,860,85,1.0,,,No lock-in / month-to-month,860,85,https://www.exetel.com.au/melbourne-nbn-plan
Exetel,Fibre,Warp speed 2X faster,860,85,1.0,,,No lock-in / month-to-month,860,85,https://www.exetel.com.au/melbourne-nbn-plan
