provider,network_type,plan_name,download_speed,upload_speed,price,promo_price,promo_period,contract,typical_evening_dl,typical_evening_ul,source_url
More,NBN,Choose your nbn® plan - Value,25,5,80.0,,36 months,No lock-in / month-to-month,25,5,https://more.com.au/personal/nbn-plans
More,NBN,nbn® Key Fact Sheet - Value Plus,50,20,100.0,,36 months,No lock-in / month-to-month,50,20,https://more.com.au/personal/nbn-plans
More,NBN,nbn® Key Fact Sheet - Fast Max,500,50,105.0,,36 months,No lock-in / month-to-month,500,50,https://more.com.au/personal/nbn-plans
More,NBN,nbn® Key Fact Sheet - Ultrafast,700,0,125.0,,36 months,No lock-in / month-to-month,700,0,https://more.com.au/personal/nbn-plans
More,5G,30GB + 30GB Bonus Data for 6mths*,150,0,33.0,,36 months,No lock-in / month-to-month,150,0,https://more.com.au/personal/nbn-plans
More,5G,50GB + 50GB Bonus Data for 6mths*,150,0,40.0,,36 months,No lock-in / month-to-month,150,0,https://more.com.au/personal/nbn-plans
More,5G,75GB + 75GB Bonus Data for 6mths*,150,0,46.0,,36 months,No lock-in / month-to-month,150,0,https://more.com.au/personal/nbn-plans
More,5G,100GB + 100GB Bonus Data for 6mths*,150,0,52.0,,36 months,No lock-in / month-to-month,150,0,https://more.com.au/personal/nbn-plans
More,5G,160GB + 160GB Bonus Data for 6mths*,250,25,65.0,,36 months,No lock-in / month-to-month,250,25,https://more.com.au/personal/nbn-plans
More,Fixed Wireless,What do you need? - Fixed Wireless Value Plus,100,20,95.0,,12 months,No lock-in / month-to-month,100,20,https://more.com.au/business/business-nbn-fixed-wireless
More,Fixed Wireless,NBN Key Fact Sheets - Fixed Wireless Fast,250,25,100.0,,12 months,No lock-in / month-to-month,250,25,https://more.com.au/business/business-nbn-fixed-wireless
More,Fixed Wireless,NBN Key Fact Sheets - Fixed Wireless Superfast,400,0,110.0,,12 months,No lock-in / month-to-month,400,0,https://more.com.au/business/business-nbn-fixed-wireless
More,NBN,Choose your business nbn® plan - Business Fast Max,500,50,115.0,,12 months,No lock-in / month-to-month,500,50,https://more.com.au/business/business-nbn-plans?toggle=Commbank
More,NBN,NBN Key Fact Sheet - Business Superfast,250,25,125.0,,12 months,No lock-in / month-to-month,250,25,https://more.com.au/business/business-nbn-plans?toggle=Commbank
More,NBN,NBN Key Fact Sheet - Business Ultrafast,500,50,155.0,,12 months,No lock-in / month-to-month,500,50,https://more.com.au/business/business-nbn-plans?toggle=Commbank
More,NBN,NBN Key Fact Sheet - Business Ultrafast Plus,700,0,185.0,,12 months,No lock-in / month-to-month,700,0,https://more.com.au/business/business-nbn-plans?toggle=Commbank
More,Fixed Wireless,Choose your nbn® plan - Fixed Wireless Value Plus,100,20,100.0,,36 months,No lock-in / month-to-month,100,20,https://more.com.au/personal/nbn-fixed-wireless
More,Fixed Wireless,nbn® Key Fact Sheet - Fixed Wireless Fast,250,25,105.0,,36 months,No lock-in / month-to-month,250,25,https://more.com.au/personal/nbn-fixed-wireless
More,Fixed Wireless,nbn® Key Fact Sheet - Fixed Wireless Superfast,400,0,115.0,,36 months,No lock-in / month-to-month,400,0,https://more.com.au/personal/nbn-fixed-wireless
