provider,network_type,plan_name,download_speed,upload_speed,price,promo_price,promo_period,contract,typical_evening_dl,typical_evening_ul,source_url
Occom,NBN,Hyper (nbn2000),2000,100,185.0,165.0,6 months,No Contract,2000,100,https://occom.com.au/nbn-plans/
Occom,NBN,Lightning (nbn1000),885,91,115.0,105.0,6 months,No Contract,885,91,https://occom.com.au/nbn-plans/
Occom,NBN,Ultra (nbn750),729,47,98.0,93.0,6 months,No Contract,729,47,https://occom.com.au/nbn-plans/
Occom,NBN,Turbo (nbn500),500,48,90.0,85.0,6 months,No Contract,500,48,https://occom.com.au/nbn-plans/
Occom,NBN,Superfast (nbn100),100,17,90.0,80.0,6 months,No Contract,100,17,https://occom.com.au/nbn-plans/
Occom,NBN,Boost Plus (nbn50),50,17,85.0,75.0,6 months,No Contract,50,17,https://occom.com.au/nbn-plans/
Occom,NBN,Boost (nbn25),25,8,70.0,60.0,6 months,No Contract,25,8,https://occom.com.au/nbn-plans/
Occom,NBN,Basic (nbn12),12,0,58.0,48.0,6 months,No Contract,12,0,https://occom.com.au/nbn-plans/
Occom,NBN,Hyper Pro (nbn2000),2000,500,220.0,200.0,6 months,No Contract,2000,500,https://occom.com.au/nbn-plans/
Occom,NBN,Lightning Pro (nbn1000),1000,400,160.0,140.0,6 months,No Contract,1000,400,https://occom.com.au/nbn-plans/
Occom,NBN,Turbo Pro (nbn500),500,170,140.0,130.0,6 months,No Contract,500,170,https://occom.com.au/nbn-plans/
Occom,Opticomm,Lightning (Fibre1000),900,85,115.0,105.0,6 months,No Contract,900,85,https://occom.com.au/opticomm-plans/
Occom,Opticomm,Ultra (Fibre750),750,48,98.0,93.0,6 months,No Contract,750,48,https://occom.com.au/opticomm-plans/
Occom,Opticomm,Turbo (Fibre500),500,48,90.0,85.0,6 months,No Contract,500,48,https://occom.com.au/opticomm-plans/
Occom,Opticomm,Superfast (Fibre100),100,17,90.0,80.0,6 months,No Contract,100,17,https://occom.com.au/opticomm-plans/
Occom,Opticomm,Boost Plus (Fibre50),50,17,85.0,75.0,6 months,No Contract,50,17,https://occom.com.au/opticomm-plans/
Occom,Opticomm,Boost (Fibre25),25,8,70.0,60.0,6 months,No Contract,25,8,https://occom.com.au/opticomm-plans/
Occom,Opticomm,Basic (Fibre12),12,1,58.0,48.0,6 months,No Contract,12,1,https://occom.com.au/opticomm-plans/
Occom,NBN FTTP,Hyper (nbn2000),2000,100,185.0,165.0,6 months,No Contract,2000,100,https://occom.com.au/nbn-fttp-upgrade/
Occom,NBN FTTP,Lightning (nbn1000),885,91,115.0,105.0,6 months,No Contract,885,91,https://occom.com.au/nbn-fttp-upgrade/
Occom,NBN FTTP,Ultra (nbn750),729,47,98.0,93.0,6 months,No Contract,729,47,https://occom.com.au/nbn-fttp-upgrade/
Occom,NBN FTTP,Turbo (nbn500),500,48,90.0,85.0,6 months,No Contract,500,48,https://occom.com.au/nbn-fttp-upgrade/
Occom,NBN FTTP,Superfast (nbn100),100,17,90.0,80.0,6 months,No Contract,100,17,https://occom.com.au/nbn-fttp-upgrade/
Occom,NBN FTTP,Boost Plus (nbn50),50,17,85.0,75.0,6 months,No Contract,50,17,https://occom.com.au/nbn-fttp-upgrade/
Occom,NBN FTTP,Boost (nbn25),25,8,70.0,60.0,6 months,No Contract,25,8,https://occom.com.au/nbn-fttp-upgrade/
Occom,NBN FTTP,Basic (nbn12),12,0,58.0,48.0,6 months,No Contract,12,0,https://occom.com.au/nbn-fttp-upgrade/
Occom,Supa,Lightning (Fibre1000),1000,1000,120.0,110.0,6 months,No Contract,1000,1000,https://occom.com.au/supa-network-plans/
Occom,Supa,Ultra (Fibre750),750,750,110.0,95.0,6 months,No Contract,750,750,https://occom.com.au/supa-network-plans/
Occom,Supa,Turbo (Fibre500),500,500,90.0,85.0,6 months,No Contract,500,500,https://occom.com.au/supa-network-plans/
Occom,Supa,Boost Plus (Fibre50),50,17,85.0,75.0,6 months,No Contract,50,17,https://occom.com.au/supa-network-plans/
Occom,Supa,Boost (Fibre25),25,8,70.0,65.0,6 months,No Contract,25,8,https://occom.com.au/supa-network-plans/
Occom,Redtrain,Lightning (Fibre1000),1000,50,130.0,115.0,12 months,No Contract,1000,50,https://occom.com.au/redtrain-plans/
Occom,Redtrain,Turbo (Fibre500),500,50,120.0,110.0,12 months,No Contract,500,50,https://occom.com.au/redtrain-plans/
Occom,Redtrain,Rocket (Fibre250),250,22,120.0,110.0,12 months,No Contract,250,22,https://occom.com.au/redtrain-plans/
Occom,Redtrain,Superfast (Fibre100),100,17,90.0,85.0,6 months,No Contract,100,17,https://occom.com.au/redtrain-plans/
Occom,Redtrain,Boost Plus (Fibre50),50,17,85.0,75.0,6 months,No Contract,50,17,https://occom.com.au/redtrain-plans/
Occom,Redtrain,Boost (Fibre25),25,4,70.0,60.0,6 months,No Contract,25,4,https://occom.com.au/redtrain-plans/
Occom,Redtrain,Basic (Fibre12),12,0,58.0,48.0,6 months,No Contract,12,0,https://occom.com.au/redtrain-plans/
