provider,network_type,plan_name,download_speed,upload_speed,price,promo_price,promo_period,contract,typical_evening_dl,typical_evening_ul,source_url
Superloop,NBN,Everyday - nbn 25/10,25,10,72.0,45.0,6 months,No Contract,25,8,https://www.superloop.com/internet/nbn/
Superloop,NBN,Extra Value - nbn 50/20,50,20,85.0,65.0,6 months,No Contract,50,17,https://www.superloop.com/internet/nbn/
Superloop,NBN,Family Max - nbn 100/20,100,20,69.0,,,No Contract,95,17,https://www.superloop.com/internet/nbn/
Superloop,NBN,Family Max - nbn 500/50,500,40,69.0,,,No Contract,500,40,https://www.superloop.com/internet/nbn/
Superloop,NBN,Power Home - nbn 100/40,100,40,85.0,,,No Contract,95,34,https://www.superloop.com/internet/nbn/
Superloop,NBN,Creator - nbn 250/100,250,100,85.0,,,No Contract,250,85,https://www.superloop.com/internet/nbn/
Superloop,NBN,Megaspeed - nbn 750/50,750,50,104.0,75.0,6 months,No Contract,750,40,https://www.superloop.com/internet/nbn/
Superloop,NBN,Lightspeed - nbn 1000/100,1000,100,109.0,79.0,6 months,No Contract,860,85,https://www.superloop.com/internet/nbn/
Superloop,NBN,Hyperspeed - nbn 2000/100,2000,100,145.0,,,No Contract,1700,85,https://www.superloop.com/internet/nbn/
Superloop,NBN,Hyperspeed - nbn 2000/200,2000,200,145.0,,,No Contract,1700,170,https://www.superloop.com/internet/nbn/
Superloop,NBN,nbn Fixed wireless - Plus 100/20,100,20,75.0,,,No Contract,50,8,https://www.superloop.com/internet/nbn/
Superloop,NBN,nbn Fixed wireless - Home Fast 250/20,250,20,79.0,,,No Contract,90,8,https://www.superloop.com/internet/nbn/
Superloop,NBN,nbn Fixed Wireless – Super Fast 400/40,400,40,89.0,,,No Contract,120,8,https://www.superloop.com/internet/nbn/
Superloop,Fibre,Everyday 25/5,25,10,72.0,45.0,6 months,No Contract,25,4,https://www.superloop.com/internet/fibre/
Superloop,Fibre,Extra Value 50/20,50,20,85.0,65.0,6 months,No Contract,50,17,https://www.superloop.com/internet/fibre/
Superloop,Fibre,Family Max 100/20,100,20,69.0,,,No Contract,95,17,https://www.superloop.com/internet/fibre/
Superloop,Fibre,Family Max 500/50,500,50,95.0,69.0,6 months,No Contract,500,40,https://www.superloop.com/internet/fibre/
Superloop,Fibre,Power Home 100/40,100,40,85.0,,,No Contract,95,34,https://www.superloop.com/internet/fibre/
Superloop,Fibre,Megaspeed 750/50,750,50,104.0,75.0,6 months,No Contract,750,40,https://www.superloop.com/internet/fibre/
Superloop,Fibre,Lightspeed 1000/100,1000,100,109.0,79.0,6 months,No Contract,860,85,https://www.superloop.com/internet/fibre/
Superloop,FTTP Upgrade,Everyday 25/10,25,10,72.0,45.0,6 months,No Contract,25,10,https://www.superloop.com/flip-to-fibre/
Superloop,FTTP Upgrade,Extra Value 50/20,50,20,85.0,65.0,6 months,No Contract,50,20,https://www.superloop.com/flip-to-fibre/
Superloop,FTTP Upgrade,Family Max 500/50,500,50,95.0,69.0,6 months,No Contract,500,50,https://www.superloop.com/flip-to-fibre/
Superloop,FTTP Upgrade,Megaspeed 750/50,750,50,104.0,75.0,6 months,No Contract,750,50,https://www.superloop.com/flip-to-fibre/
Superloop,FTTP Upgrade,Lightspeed 1000/100,1000,100,109.0,79.0,6 months,No Contract,1000,100,https://www.superloop.com/flip-to-fibre/
Superloop,Fixed Wireless,Fixed Wireless Plus 100/20,100,20,89.0,75.0,6 months,No Contract,50,8,https://www.superloop.com/internet/fixed-wireless/
Superloop,Fixed Wireless,Fixed Wireless Home Fast 250/20,250,20,95.0,79.0,6 months,No Contract,90,8,https://www.superloop.com/internet/fixed-wireless/
Superloop,Fixed Wireless,Fixed Wireless Super Fast 400/40,400,40,105.0,89.0,6 months,No Contract,120,8,https://www.superloop.com/internet/fixed-wireless/
