provider,network_type,plan_name,download_speed,upload_speed,price,promo_price,promo_period,contract,typical_evening_dl,typical_evening_ul,source_url
Telstra,Opticomm,Basic,25,4,93.0,,,No Lock-in,25,4,https://www.telstra.com.au/internet/opticomm-plans
Telstra,Opticomm,Basic Internet Only,25,4,85.0,,,No Lock-in,25,4,https://www.telstra.com.au/internet/opticomm-plans
Telstra,Opticomm,Essential,50,17,109.0,,,No Lock-in,50,17,https://www.telstra.com.au/internet/opticomm-plans
Telstra,Opticomm,Essential Internet Only,50,17,95.0,,,No Lock-in,50,17,https://www.telstra.com.au/internet/opticomm-plans
Telstra,Opticomm,Premium,400,40,99.0,99.0,6 months,No Lock-in,400,40,https://www.telstra.com.au/internet/opticomm-plans
Telstra,Opticomm,Premium Internet Only,400,40,89.0,89.0,6 months,No Lock-in,400,40,https://www.telstra.com.au/internet/opticomm-plans
Telstra,Opticomm,Ultimate,600,40,99.0,99.0,6 months,No Lock-in,600,40,https://www.telstra.com.au/internet/opticomm-plans
Telstra,Opticomm,Ultrafast,800,80,109.0,109.0,6 months,No Lock-in,800,80,https://www.telstra.com.au/internet/opticomm-plans
Telstra,Opticomm,Ultimate Internet Only,600,40,89.0,89.0,6 months,No Lock-in,600,40,https://www.telstra.com.au/internet/opticomm-plans
Telstra,Opticomm,Ultrafast Internet Only,800,80,99.0,99.0,6 months,No Lock-in,800,80,https://www.telstra.com.au/internet/opticomm-plans
