provider,network_type,plan_name,download_speed,upload_speed,price,promo_price,promo_period,contract,typical_evening_dl,typical_evening_ul,source_url
swoop,NBN,nbn® 25/10 Mbps,25,10,69.0,54.0,,No Contract,,,https://www.swoop.com.au/nbn/
swoop,NBN,nbn® 50/20 Mbps,50,20,84.0,69.0,,No Contract,,,https://www.swoop.com.au/nbn/
swoop,NBN,nbn® 500/50 Mbps,500,50,94.0,72.0,,No Contract,,,https://www.swoop.com.au/nbn/
swoop,NBN,nbn® 1000/100 Mbps,1000,100,109.0,85.0,,No Contract,,,https://www.swoop.com.au/nbn/
swoop,Fixed Wireless,Swoop Fixed Wireless 30/10 Mbps,30,10,69.0,54.0,,No Contract,,,https://www.swoop.com.au/fixed-wireless/
swoop,Fixed Wireless,Swoop Fixed Wireless 70/20 Mbps,70,20,79.0,64.0,,No Contract,,,https://www.swoop.com.au/fixed-wireless/
swoop,Fixed Wireless,Swoop Fixed Wireless 120/20 Mbps,120,20,94.0,74.0,,No Contract,,,https://www.swoop.com.au/fixed-wireless/
swoop,Fixed Wireless,Swoop Fixed Wireless 250/100 Mbps,250,100,119.0,94.0,,No Contract,,,https://www.swoop.com.au/fixed-wireless/
swoop,Opticomm,Opticomm Fibre 25/5 Mbps,25,5,69.0,54.0,,No Contract,,,https://www.swoop.com.au/opticomm/
swoop,Opticomm,Opticomm Fibre 50/20 Mbps,50,20,84.0,69.0,,No Contract,,,https://www.swoop.com.au/opticomm/
swoop,Opticomm,Opticomm Fibre 100/20 Mbps,100,20,99.0,84.0,,No Contract,,,https://www.swoop.com.au/opticomm/
swoop,Opticomm,Opticomm Fibre 250/25 Mbps,250,25,129.0,114.0,,No Contract,,,https://www.swoop.com.au/opticomm/
