provider,network_type,plan_name,download_speed,upload_speed,price,promo_price,promo_period,contract,typical_evening_dl,typical_evening_ul,source_url
telstra,5G,Basic 5G Internet,25,5,70.0,,,No Lock-in,25,5,https://www.telstra.com.au/internet/plans
telstra,5G,Essential 5G Internet,50,20,80.0,,,No Lock-in,50,20,https://www.telstra.com.au/internet/plans
telstra,NBN,Basic nbn®,23,3,93.0,73.0,6 months,No Lock-in,23,3,https://www.telstra.com.au/internet/plans
telstra,NBN,Basic nbn®,25,4,93.0,73.0,6 months,No Lock-in,25,4,https://www.telstra.com.au/internet/plans
telstra,NBN,Basic nbn® Internet Only,23,3,85.0,65.0,6 months,No Lock-in,23,3,https://www.telstra.com.au/internet/plans
telstra,NBN,Basic nbn® Internet Only,25,4,85.0,65.0,6 months,No Lock-in,25,4,https://www.telstra.com.au/internet/plans
telstra,NBN,Essential nbn®,50,17,109.0,89.0,6 months,No Lock-in,50,17,https://www.telstra.com.au/internet/plans
telstra,NBN,Essential nbn®,68,7,109.0,89.0,6 months,No Lock-in,68,7,https://www.telstra.com.au/internet/plans
telstra,5G,Premium 5G Internet,300,30,85.0,,,No Lock-in,300,30,https://www.telstra.com.au/internet/plans
telstra,NBN,Premium nbn®,100,17,113.0,93.0,6 months,No Lock-in,100,17,https://www.telstra.com.au/internet/plans
telstra,NBN,Essential nbn® Internet Only,50,17,95.0,75.0,6 months,No Lock-in,50,17,https://www.telstra.com.au/internet/plans
telstra,NBN,Essential nbn® Internet Only,68,7,95.0,75.0,6 months,No Lock-in,68,7,https://www.telstra.com.au/internet/plans
telstra,NBN,Premium nbn®,500,40,113.0,93.0,6 months,No Lock-in,500,40,https://www.telstra.com.au/internet/plans
telstra,NBN,Premium nbn® Internet Only,100,17,99.0,79.0,6 months,No Lock-in,100,17,https://www.telstra.com.au/internet/plans
telstra,NBN,Premium nbn® Internet Only,500,40,99.0,79.0,6 months,No Lock-in,500,40,https://www.telstra.com.au/internet/plans
telstra,NBN,Ultimate nbn®,750,40,129.0,109.0,6 months,No Lock-in,750,40,https://www.telstra.com.au/internet/plans
telstra,NBN,Ultrafast nbn®,815,80,139.0,119.0,6 months,No Lock-in,815,80,https://www.telstra.com.au/internet/plans
telstra,NBN,Ultimate nbn® Internet Only,750,40,119.0,99.0,6 months,No Lock-in,750,40,https://www.telstra.com.au/internet/plans
telstra,NBN,Ultrafast nbn® Internet Only,815,80,129.0,109.0,6 months,No Lock-in,815,80,https://www.telstra.com.au/internet/plans
